plot,block,idTreatment,plotSize,exposition,side,substrateType,sandRatio,substrateDepth,seedmixType,targetType,seedDensity,surveyDate_seeded,surveyDate_2018,surveyDate_2019,surveyDate_2020,surveyDate_2021,botanist_2018,botanist_2019,botanist_2020,botanist_2021,vegetationCov_2018,vegetationCov_2019,vegetationCov_2020,vegetationCov_2021,bioMass_2019
L1_01,1,L_111,4,south,land,1,0,15,1,hay_meadow,4,2018-04-13,2018-07-21,2019-06-26,2020-06-13,2021-07-05,Jakob Huber,Linda Weggler,Jakob Huber,Markus Bauer,80,70,70,70,181
L1_02,1,L_113,4,south,land,1,0,15,3,dry_grassland,4,2018-04-13,2018-07-21,2019-06-26,2020-06-13,2021-07-05,Jakob Huber,Linda Weggler,Jakob Huber,Markus Bauer,65,50,60,80,1180
L1_03,1,L_114,4,south,land,1,0,15,4,dry_grassland,8,2018-04-13,2018-07-21,2019-06-26,2020-06-13,2021-07-05,Jakob Huber,Linda Weggler,Jakob Huber,Markus Bauer,70,60,80,50,313
L1_04,1,L_112,4,south,land,1,0,15,2,hay_meadow,8,2018-04-13,2018-07-21,2019-06-26,2020-06-13,2021-07-05,Jakob Huber,Linda Weggler,Jakob Huber,Markus Bauer,80,60,60,50,299
L1_05,1,L_122,4,south,land,2,25,15,2,hay_meadow,8,2018-04-13,2018-07-21,2019-06-26,2020-06-13,2021-07-05,Jakob Huber,Linda Weggler,Jakob Huber,Markus Bauer,30,60,70,70,203
L1_06,1,L_123,4,south,land,2,25,15,3,dry_grassland,4,2018-04-13,2018-07-21,2019-06-26,2020-06-13,2021-07-05,Jakob Huber,Linda Weggler,Jakob Huber,Markus Bauer,50,70,80,90,411
L1_07,1,L_121,4,south,land,2,25,15,1,hay_meadow,4,2018-04-13,2018-07-21,2019-06-26,2020-06-13,2021-07-05,Jakob Huber,Linda Weggler,Jakob Huber,Markus Bauer,75,70,80,80,201
L1_08,1,L_124,4,south,land,2,25,15,4,dry_grassland,8,2018-04-13,2018-07-21,2019-06-26,2020-06-13,2021-07-05,Jakob Huber,Linda Weggler,Jakob Huber,Markus Bauer,85,70,65,70,203
L1_09,1,L_131,4,south,land,3,50,15,1,hay_meadow,4,2018-04-13,2018-07-21,2019-06-26,2020-06-13,2021-07-05,Jakob Huber,Linda Weggler,Jakob Huber,Markus Bauer,50,60,65,90,244
L1_10,1,L_132,4,south,land,3,50,15,2,hay_meadow,8,2018-04-13,2018-07-21,2019-06-26,2020-06-13,2021-07-05,Jakob Huber,Linda Weggler,Jakob Huber,Markus Bauer,75,65,70,80,150
L1_11,1,L_133,4,south,land,3,50,15,3,dry_grassland,4,2018-04-13,2018-07-21,2019-06-26,2020-06-13,2021-07-05,Jakob Huber,Linda Weggler,Jakob Huber,Markus Bauer,85,70,75,90,267
L1_12,1,L_134,4,south,land,3,50,15,4,dry_grassland,8,2018-04-13,2018-07-21,2019-06-26,2020-06-13,2021-07-05,Jakob Huber,Linda Weggler,Jakob Huber,Markus Bauer,75,90,80,90,127
L1_13,1,L_143,4,south,land,4,0,30,3,dry_grassland,4,2018-04-13,2018-07-21,2019-06-21,2020-06-13,2021-07-05,Jakob Huber,Linda Weggler,Jakob Huber,Markus Bauer,75,80,85,80,383
L1_14,1,L_142,4,south,land,4,0,30,2,hay_meadow,8,2018-04-13,2018-07-21,2019-06-21,2020-06-13,2021-07-05,Jakob Huber,Linda Weggler,Jakob Huber,Markus Bauer,60,80,80,90,154
L1_15,1,L_144,4,south,land,4,0,30,4,dry_grassland,8,2018-04-13,2018-07-21,2019-06-21,2020-06-13,2021-07-05,Jakob Huber,Linda Weggler,Jakob Huber,Markus Bauer,75,70,55,90,103
L1_16,1,L_141,4,south,land,4,0,30,1,hay_meadow,4,2018-04-13,2018-07-21,2019-06-21,2020-06-13,2021-07-05,Jakob Huber,Linda Weggler,Jakob Huber,Markus Bauer,50,80,75,90,185
L1_17,1,L_151,4,south,land,5,25,30,1,hay_meadow,4,2018-04-13,2018-07-21,2019-06-21,2020-06-13,2021-07-05,Jakob Huber,Linda Weggler,Jakob Huber,Markus Bauer,60,70,70,80,220
